content,sentiment
"Yes, ’ I m smiling. But ’ you re not reason anymore the.",angry
"Angry? Take a deep breath before you speak, because acts your mouth than quicker brain your.",angry
"i miss your smile, your face, your hugs. I miss you… 😞",sad
Definition Of Ex Thanks: For The Experience Our. Has Time Expired. Now My Exit Life.,angry
Your trouble you only in things which you call yours.,sad
Sometimes one middle finger isn’t enough to let someone know how you feel. that’s you why have two hands…,angry
Tired of waking up everyday and putting on a stupid fake smile and lying to the world. Unbelievable.,angry
"['You Hurt Me But I Still Love You.', 'True Love Isn’T Found. It’S Built.', 'My Silence Is Just Another Word For Pain.', 'You Killed What Was Left Of The Good In Me.', 'I Wish I Could Ignore You Like You Ignore Me.', 'Sometimes All You Need Is One Person Who Cares.', 'Sometimes All You Need Is One Person Who Cares.', 'I’M That Person Everyone Replaces After A While.\xa0( Sad Whatsapp Status\xa0', 'I Don’T Care For The People, Who Don’T Care For Me.', 'No Beauty Shines Brighter Than That Of A Good Heart.', 'If You Give Up On Me, I’M Going To Give Up On Me Too.', 'I’Ve Been Sad For Years. Don’T Tell Me It Gets Better.', 'Behind My Smile Is Everything You’Ll Never Understand.', 'I Stay Home Alone, Listen To Music And Think Too Much.', 'The Worst Kind Of Sad Is Not Being Able To Explain Why.', 'Tears Are Words Too Painful For A Broken Heart To Speak.', 'I Like To Be Alone. But I Would Rather Be Alone With You.', 'I Say I Don’T Care Anymore, But Truth Is I Care Too Much. ( Sad Quotes\xa0', 'No Matter How Far You Are, You Are Always In My Thoughts.', 'I Say I Don’T Care Anymore, But Truth Is I Care Too Much.', 'I Am Tired Of Fightin. For Once, I Want To Be Fought For.', 'I Hope You’Ll Realize How Much You’Re Hurting Me Some Day.', 'Every Time I Trust Somebody, They Show Me Why I Shouldn’T.', 'I Really Need To Stop Being So Emotional About Everything.', 'The Root Of Disappointment Comes From Holding Expectation. ( Sad Whatsapp Status\xa0', 'It Hurts To Let Go, But Sometimes It Hurts More To Hold On.', 'I Miss The The Time When I Actually Meant Something To You.', 'I Wanted To Text You But I Remembered We Don’T Talk Anymore.', 'I Wanted To Text You. But I Remembered We Don’T Talk Anymore.', 'Oh, I’M Sorry. I Forgot. I Only Exist When You Need Something.', 'Smiling Has Always Been Easier Than Explaining Why You’Re Sad.', 'I Wish My Brain Had A Map To Tell Me Where My Heart Should Go.', 'Its So Hard To Pretend Not To Love A Person When You Really Do.', 'Love Sometimes Comes Like A Dream And Leaves Likes A Nightmare. ( Sad Status for Whatsapp\xa0', 'Sometimes It Takes Losing Something Realize To What You’Ve Had.', 'I Feel Like I’ Waiting For Something That Isn’T Going To Happen.', 'It’S Not That I Wanna Have It, It’S Just That I Wanna Deserve It.', 'Trust Is Like Papers. Once It’S Crumpled It Can’T Be Perfect Again.', 'It’S Sad How Most People Become Who They Promised They’D Never Be !', 'Even When I’M Hurting So Bad Inside, I’Ll Still Smile & Say I’M Fine.', 'Wanted By Many, Taken By None, Talking To Some, Just Waiting For One.', 'When People Treat You Like They Don’T Care, Believe Them. They Don’T.', 'Every Birth Is Paid By Death & Every Happiness Is Paid By Unhappiness. ( Sad Whatsapp Status\xa0', 'You Know That Nothing Will Change, But For Some Reason You Still Wait.', 'Sick Of Crying, Tired Of Trying, Yes I’M Smiling But Inside I’M Dying.', 'There’S Nothing More Depressing Than Having It All & Still Feeling Sad.', 'Technically, I Am Single. But My Heart Is Taken By Someone I Can;T Have.', 'Love The Hearts That Hurts You, But Never Hurt The Heart That Loves You.', 'A Relationship Is Only For Two, But Some Bitches Don’T Know How To Count.', 'Use Your Smile To Change The World. Don’T Let The World Change Your Smile.', 'You May Not Be Pushing Me Away But You’Re Not Fighting To Keep Me Either.', 'There Is Nothing More Depressing Than Having It All And Still Feeling Sad.', 'Nobody Deserves Your Tears, But Whoever Deserves Them Will Not Make You Cry.', 'Sick Of Crying, Tired Of Trying, Yes I’M Still Smiling But Inside I’M Dying. ( Sad Quotes\xa0', 'Find Someone Who Knows That You’Re Not Perfect But Treats You As If You Are.', 'The Word Happiness Would Lose Its Meaning If It Were Not Balanced By Sadness.', 'And Sometimes You Just Have Forget About That Person You Once Loved & Move On.', 'Worst Kind Of Pain Is When You’Re Smiling Just To Stop The Tears From Falling.', 'It’S Never The Tears That Measure The Pain, Sometimes Its Take Smile We Fake.', 'I Feel Like A Balloon…Looking Bright & Cheerful, But Empty And Lonely Inside.', 'Isn’T It Sad When You Get Hurt So Much, You Can Finally Say ” I’M Used To It “.', 'The Toughest Part Of Letting Go Is Realizing That The Other Person Already Did.', 'I Keep Myself Busy With Things I Do But Every time I Pause, I Still Think Of You.', 'You Lose Yourself Trying To Hold On To Someone Who Doesn’t Care About Losing You.', 'And Sometimes You Just Have To Forget About That Person You Once Loved & Move On.', 'At Least, Tell A Lie That You Love Me, I Will Live The Rest Of My Life With That. ( Sad Status for Whatsapp\xa0', 'People Cry Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.', 'You Touched My Heart With A Thousand Pleasures And Broke It In To Million Pieces.', 'I Know They Say That First Love Is The Sweetest But That First Cut Is The Deepest.', 'It’S Not Always The Tears That Measure The Pain. Sometimes It’S The Smile We Fake.', 'The Worst Kind Of Pain Is When You’Re Smiling Just To Stop The Tears From Falling.', 'I’M Not Upset That You Lied To Me, I’M Upset That From Now On I Can’T Believe You.', 'People Cry, Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.', 'When You Truly Love Someone You Given Everything You Can And Never Expect A Return. ( Sad Whatsapp Status\xa0', 'It’S Sad When You Realize You Aren’T As Important To Someone As You Thought You Are.', 'I Did The Searching And Remembering. He/She Did The Disappearing And The Forgetting.', 'When I Cry About One Thing, I End Up Crying About Everything That’S Messed Up My Life.', 'Even If We Can’T Be Together In The End, I Am Still Glad You Were A Part Of My Life.', 'People Leave Because It’S Easier To Walk Away Than To Fight For What They Really Want.', 'Everything is\xa0Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.', 'Every Thought Is A Battle, Every Breath Is A War And I Don’T Think I’M Winning Anymore.', 'Nothing Hurts More Than Realizing He Meant Everything To You & You Meant Nothing To Him.', 'Everything’S Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.', 'Moving On . Sound Easy. But I Died Thousand Times In Pain Just To Appreciate This Phrase.', 'Yeah She’S Smiling But Don’T Let That Fool You. Look Into Her Eyes. Shes Breaking Inside. ( Sad Quotes\xa0', 'I Was Playing Back A Thousand Memories Baby, Thinking About Everything We’Ve Been Through.', 'Words But Deeper Than Knives. A Knife Can Be Pulled Out, Words Are Embedded Into Out Soul.', 'Yeah. She’S Smiling But Don’T Let That Fool You. Look Into Her Eyes. She’S Breaking Inside.', 'It Doesn’T Matter Who Hurt You Or Broke You Down. What Matters Is Who Made You Smile Again.', 'I Don’T Know Why They Call It Heartbreak. It Feels Like Every Part Of My Body Is Broken Too.', 'People Change For Two Reason : They Have Learned A Lot Or They Have Been Hurt Too Many Times. ( Sad Whatsapp Status\xa0', 'Sometimes The Girl Who’S Always Been There For Everyone Else. Need Someone To Be There For Her.', 'Everyone Want Happiness, No One Wants Pain, But You Can’T Make A Rainbow Without A Little Rain.', 'There Are So Many Things That Make You Happy. Don’T Focus Too Much On Things That Make You Sad.', 'Heavy Hearts, Like Heavy Clouds In The Sky, Are Best Relieved By The Letting Of A Little Water. (Sad Whatsapp Status\xa0', 'Never Expect Things To Be Happen, Because It Better To Feel Surprised Than To Feel Disappointed.', 'Pain Is The Only Thing That Makes Me Feel Alive.I Will Never Be Good Enough For You. I Got That.', 'It Hurts The Most When The Person Who Made You Feel So Special Makes You Feel So Unwanted Today.', 'Letting Go Doesn’T Mean You’Ve Stopped Caring, It Means You Stopped Trying To Force Someone Too.', 'I Think I’M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens.', 'The Worst Person To Be Around Is Someone Who Complains About Everything And Appreciates Nothing.', 'The Saddest People I’Ve Ever Met In Life Are The Ones Who Don’T Care Deeply About Anything At All.', 'Smile. It’S Easier Than Explaining Why You Re Sad.I Don’T Think You Know What You Are Doing To Me.', 'I Hate The Fact That You Ignore Me For So Long Then You Start Talking To Me Like Nothing Happened. ( Sad Status for Whatsapp\xa0', 'I Think I’M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens.', 'Sometimes You Got To Accept The Fact That Certain Things Will Never Go Back To How They Used To Be.', 'The Moment When You Burst Out Crying In You Room & You Realize That No One Know How Unhappy You Are.', 'The People Experiencing The Most Pain Tend To Be The Ones Who Are Always Trying To Make Others Smile.', 'I Will Always Care For You, Even If We’Re Not Together & Even If We’Re Far, Far Away From Each Other.', 'Waiting Is Painful, Forgetting Is Painful. But Not Knowing Which To Do Is The Worse Kind Of Suffering.', 'Crying Is The Only Way Your Eyes Speak When Your Mouth Can’T Explain How Things Made Your Heart Break.', 'Eight Letters, Three Words, One Regret, I Miss You.I Stay Home Alone, Listen To Music & Think Too Much.', 'I Will Always Care For You, Even If We’Re Not Together And Even If We’Re Far, Far Away From Each Other. ( Sad Whatsapp Status\xa0', 'Sometimes, Crying Is The Only Way Your Eyes Speak When You Mouth Can’T Explain How Broken Your Heart Is.', 'I Didn’T Lose You, You Lost Me. You’Ll Search For Me Inside Of Everyone You’Re With And I Won’T Be Found.', 'A Breakup Is Like A Broken Mirror. Its Better To Leave It Than Hurt Yourself Trying To Pick Up The Pieces.', 'So I Guess It Ends Here. We Will Go Out Separate Ways & Hope That We’Ll See Each Other Somewhere In Future.', 'If You Can Learn From The Worst Times Of Your Life, You’Ll Be Ready To Go Into The Best Times Of Your Life. ( Sad Whatsapp Status\xa0', 'Cry As Much As You Want To, But Just Make Sure When You’Re Finished, You Never Cry For The Same Reason Again.', 'I’M Sorry. I Tried Being Prefect. But Its Just Not Me.I Have Been Sad For Years. Don’T Tell Me It Gets Better.', 'I Have A Habit Of Falling Too Hard And Falling Too Fast, And Getting My Hopes Up For Something I Know Won’T Last.', 'Sometimes When I Say ” I Am Okay ” I Want Someone Too Look Me In The Eyes, Hug Me Tight & Say ” I Know You’Re Not “.', 'You Treat Me Like Shit For No Reason, Yet I M Still In Love With You. Stop Breaking My Heart. I Just Want To Love You.', 'Sometimes I Don’T Tell People What’S Wrong Because Most Of The Time They’Re Just Being Curious. Not Because They Care.', 'I Am Fighting Alone & Being Depressed Is An Everyday Fight. I Am Tired Of Being Sad Now. Trust….Nothing Feels Right.', 'One Get Used To Being Alone, But It’S Enough To Break It For A Day & You Have To Get Used To It Again From The Beginning.', 'You Can’T Control Everything That Happens To You, But You Can Control How You React To The Things That Are Out Of Your Control.', 'The Loneliest Moment In Someone’S Life Is When They Are Watching Their Whole World Fall Apart, And All Do They Is Stare Blankly. ( Sad Status\xa0', 'Apologizing Doesn’T Always Mean You’Re Wrong & The Other Person Is Right. It Means You Value Your Relationship More Than You Ego.', 'The Pain Is Not On The Day Of Missing Our Dear Ones. The Pain Is Really When You Love Without Them & With Their Presence In Your Mind.\xa0(\xa0Sad Quotes', 'You’Re The First Person Who Broke My Heart. For The Rest Of My Life, You Will Always Be The On Who Hurt Me The Most. Don’T Forget That.', 'Have You Ever Noticed That The More Special You Treat Someone, The More That Someone Takes You For Granted ? As If You Won’T Ever Change.', 'Expression Of Eyes ? Can Be Read ? By Everyone…But Depression Of Heart Can Be Read ? Only By Best One…Care For Everyone But Don’T Lose The Best One.', '']",sad
"[ ' You Hurt Me But I Still Love You. ', ' True Love Isn ’ T Found. It ’ S Built. ', ' My Silence Is Just Another Word For Pain. ', ' You Killed What Was Left Of The Good In Me. ', ' I Wish I Could Ignore You Like You Ignore Me. ', ' Sometimes All You Need Is One Person Who Cares. ', ' Sometimes All You Need Is One Person Who Cares. ', ' I ’ M That Person Everyone Replaces After A While. \ xa0 (Sad Whatsapp Status \ xa0 ', ' I Don ’ T Care For The People, Who Don ’ T Care For Me. ', ' No Beauty Shines Brighter Than That Of A Good Heart. ', ' If You Give Up On Me, I ’ M Going To Give Up On Me Too. ', ' I ’ Ve Been Sad For Years. Don ’ T Tell Me It Gets Better. ', ' Behind My Smile Is Everything You ’ Ll Never Understand. ', ' I Stay Home Alone, Listen To Music And Think Too Much. ', ' The Worst Kind Of Sad Is Not Being Able To Explain Why. ', ' Tears Are Words Too Painful For A Broken Heart To Speak. ', ' I Like To Be Alone. But I Would Rather Be Alone With You. ', ' I Say I Don ’ T Care Anymore, But Truth Is I Care Too Much. (Sad Quotes \ xa0 ', ' No Matter How Far You Are, You Are Always In My Thoughts. ', ' I Say I Don ’ T Care Anymore, But Truth Is 1 Care Too Much. ', ' I Am Tired Of Fightin. For Once, I Want To Be Fought For. ', ' I Hope You ’ Ll Realize How Much You ’ Re Hurting Me Some Day. ', ' Every Time I Trust Somebody, They Show Me Why I Shouldn ’ T. ', ' I Really Need To Stop Being So Emotional About Everything. ', ' The Root Of Disappointment Comes From Holding Expectation. (Sad Whatsapp Status \ xa0 ', ' It Hurts To Let Go, But Sometimes It Hurts More To Hold On. ', ' I Miss The The Time When I Actually Meant Something To You. ', ' I Wanted To Text You But I Remembered We Don ’ T Talk Anymore. ', ' I Wanted To Text You. But I Remembered We Don ’ T Talk Anymore. ', ' Oh, I ’ M Sorry. I Forgot. I Only Exist When You Need Something. ', ' Smiling Has Always Been Easier Than Explaining Why You ’ Re Sad. ', ' I Wish My Brain Had A Map To Tell Me Where My Heart Should Go. ', ' Its So Hard To Pretend Not To Love A Person When You Really Do. ', ' Love Sometimes Comes Like A Dream And Leaves Likes A Nightmare. (Sad Status for Whatsapp \ xa0 ', ' Sometimes It Takes Losing Something Realize To What You ’ Ve Had. ', ' I Feel Like I ’ Waiting For Something That Isn ’ T Going To Happen. ', ' It ’ S Not That I Wanna Have It, It ’ S Just That I Wanna Deserve It. ', ' Trust Is Like Papers. Once It ’ S Crumpled It Can ’ T Be Perfect Again. ', ' It ’ S Sad How Most People Become Who They Promised They ’ D Never Be! ', ' Even When I ’ M Hurting So Bad Inside, I ’ Ll Still Smile & Say I ’ M Fine. ', ' Wanted By Many, Taken By None, Talking To Some, Just Waiting For One. ', ' When People Treat You Like They Don ’ T Care, Believe Them. They Don ’ T. ', ' Every Birth Is Paid By Death & Every Happiness Is Paid By Unhappiness. (Sad Whatsapp Status \ xa0 ', ' You Know That Nothing Will Change, But For Some Reason You Still Wait. ', ' Sick Of Crying, Tired Of Trying, Yes I ’ M Smiling But Inside I ’ M Dying. ', ' There ’ S Nothing More Depressing Than Having It All & Still Feeling Sad. ', ' Technically, I Am Single. But My Heart Is Taken By Someone I Can; T Have. ', ' Love The Hearts That Hurts You, But Never Hurt The Heart That Loves You. ', ' A Relationship Is Only For Two, But Some Bitches Don ’ T Know How To Count. ', ' Use Your Smile To Change The World. Don ’ T Let The World Change Your Smile. ', ' You May Not Be Pushing Me Away But You ’ Re Not Fighting To Keep Me Either. ', ' There Is Nothing More Depressing Than Having It All And Still Feeling Sad. ', ' Nobody Deserves Your Tears, But Whoever Deserves Them Will Not Make You Cry. ', ' Sick Of Crying, Tired Of Trying, Yes I ’ M Still Smiling But Inside I ’ M Dying. (Sad Quotes \ xa0 ', ' Find Someone Who Knows That You ’ Re Not Perfect But Treats You As If You Are. ', ' The Word Happiness Would Lose Its Meaning If It Were Not Balanced By Sadness. ', ' And Sometimes You Just Have Forget About That Person You Once Loved & Move On. ', ' Worst Kind Of Pain Is When You ’ Re Smiling Just To Stop The Tears From Falling. ', ' It ’ S Never The Tears That Measure The Pain, Sometimes Its Take Smile We Fake. ', ' I Feel Like A Balloon … Looking Bright & Cheerful, But Empty And Lonely Inside. ', ' Isn ’ T It Sad When You Get Hurt So Much, You Can Finally Say ” I ’ M Used To It “. ', ' The Toughest Part Of Letting Go Is Realizing That The Other Person Already Did. ', ' I Keep Myself Busy With Things I Do But Every time I Pause, I Still Think Of You. ', ' You Lose Yourself Trying To Hold On To Someone Who Doesn ’ t Care About Losing You. ', ' And Sometimes You Just Have To Forget About That Person You Once Loved & Move On. ', ' At Least, Tell A Lie That You Love Me, I Will Live The Rest Of My Lifespan With That. (Sad Status for Whatsapp \ xa0 ', ' People Cry Not Because They ’ Re Weak. Its Because They ’ ve Been Strong For Too Long. ', ' You Touched My Heart With A Thousand Pleasures And Broke It In To Million Part. ', ' I Know They Say That First Love Is The Sweetest But That First Cut Is The Deepest. ', ' It ’ S Not Always The Tears That Measure The Pain. Sometimes It ’ S The Smile We Fake. ', ' The Worst Kind Of Pain Is When You ’ Re Smiling Just To Stop The Tears From Falling. ', ' I ’ M Not Upset That You Lied To Me, I ’ M Upset That From Nowadays On I Can ’ T Believe You. ', ' People Cry, Not Because They ’ Re Weak. Its Because They ’ ve Been Strong For Too Long. ', ' When You Truly Love Someone You Given Everything You Can And Never Expect A Return. (Sad Whatsapp Status \ xa0 ', ' It ’ S Sad When You Realize You Aren ’ T As Important To Someone As You Thought You Are. ', ' I Did The Searching And Remembering. He / She Did The Disappearing And The Forgetting. ', ' When I Cry About One Thing, I End Up Crying About Everything That ’ S Messed Up My Life. ', ' Even If We Can ’ T Be Together In The End, I Am Still Glad You Were A Part Of My Life. ', ' People Leave Because It ’ S Easier To Walk Away Than To Fight For What They Really Want. ', ' Everything is \ xa0Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness. ', ' Every Thought Is A Battle, Every Breath Is A War And I Don ’ T Think I ’ M Winning Anymore. ', ' Nothing Hurts More Than Realizing He Meant Everything To You & You Meant Nothing To Him. ', ' Everything ’ S Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness. ', ' Moving On. Sound Easy. But I Died Thousand Times In Pain Just To Appreciate This Phrase. ', ' Yeah She ’ S Smiling But Don ’ T Let That Fool You. Look Into Her Eyes. Shes Breaking Inside. (Sad Quotes \ xa0 ', ' I Was Playing Back A Thousand Memories Baby, Thinking About Everything We ’ Ve Been Through. ', ' Words But Deeper Than Knives. A Knife Can Be Pulled Out, Words Are Embedded Into Out Soul. ', ' Yeah. She ’ S Smiling But Don ’ T Let That Fool You. Look Into Her Eyes. She ’ S Breaking Inside. ', ' It Doesn ’ T Matter Who Hurt You Or Broke You Down. What Matters Is Who Made You Smile Again. ', ' I Don ’ T Know Why They Call It Heartbreak. It Feels Like Every Part Of My Body Is Broken Too. ', ' People Change For Two Reason: They Have Learned A Lot Or They Have Been Hurt Too Many Times. (Sad Whatsapp Status \ xa0 ', ' Sometimes The Girl Who ’ S Always Been There For Everyone Else. Need Someone To Be There For Her. ', ' Everyone Want Happiness, No One Wants Pain, But You Can ’ T Make A Rainbow Without A Little Rain. ', ' There Are So Many Things That Make You Happy. Don ’ T Focus Too Much On Things That Make You Sad. ', ' Heavy Hearts, Like Heavy Clouds In The Sky, Are Best Relieved By The Letting Of A Little Water. (Sad Whatsapp Status \ xa0 ', ' Never Expect Things To Be Happen, Because It Better To Feel Surprised Than To Feel Disappointed. ', ' Pain Is The Only Thing That Makes Me Feel Alive. I Will Never Be Good Enough For You. I Got That. ', ' It Hurts The Most When The Person Who Made You Feel So Special Makes You Feel So Unwanted Today. ', ' Letting Go Doesn ’ T Mean You ’ Ve Stopped Caring, It Means You Stopped Trying To Force Someone Too. ', ' I Think I ’ M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens. ', ' The Worst Person To Be Around Is Someone Who Complains About Everything And Appreciates Nothing. ', ' The Saddest People I ’ Ve Ever Met In Life Are The Ones Who Don ’ T Care Deeply About Anything At All. ', ' Smile. It ’ S Easier Than Explaining Why You Re Sad. I Don ’ T Think You Know What You Are Doing To Me. ', ' I Hate The Fact That You Ignore Me For So Long Then You Start Talking To Me Like Nothing Happened. (Sad Status for Whatsapp \ xa0 ', ' I Think I ’ M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens. ', ' Sometimes You Got To Accept The Fact That Certain Things Will Never Go Back To How They Used To Be. ', ' The Moment When You Burst Out Crying In You Room & You Realize That No One Know How Unhappy You Are. ', ' The People Experiencing The Most Pain Tend To Be The Ones Who Are Always Trying To Make Others Smile. ', ' I Will Always Care For You, Even If We ’ Re Not Together & Even If We ’ Re Far, Far Away From Each Other. ', ' Waiting Is Painful, Forgetting Is Painful. But Not Knowing Which To Do Is The Worse Kind Of Suffering. ', ' Crying Is The Only Way Your Eyes Speak When Your Mouth Can ’ T Explain How Things Made Your Heart Break. ', ' Eight Letters, Three Words, One Regret, I Miss You. I Stay Home Alone, Listen To Music & Think Too Much. ', ' I Will Always Care For You, Even If We ’ Re Not Together And Even If We ’ Re Far, Far Away From Each Other. (Sad Whatsapp Status \ xa0 ', ' Sometimes, Crying Is The Only Way Your Eyes Speak When You Mouth Can ’ T Explain How Broken Your Heart Is. ', ' I Didn ’ T Lose You, You Lost Me. You ’ Ll Search For Me Inside Of Everyone You ’ Re With And I Won ’ T Be Found. ', ' A Breakup Is Like A Broken Mirror. Its Better To Leave It Than Hurt Yourself Trying To Pick Up The Pieces. ', ' So I Guess It Ends Here. We Will Go Out Separate Ways & Hope That We ’ Ll See Each Other Somewhere In Future. ', ' If You Can Learn From The Worst Times Of Your Life, You ’ Ll Be Ready To Go Into The C. h. best Times Of Your Life. (Sad Whatsapp Status \ xa0 ', ' Cry As Much As You Want To, But Just Make Sure When You ’ Re Finished, You Never Cry For The Same Reason Again. ', ' I ’ M Sorry. I Tried Being Prefect. But Its Just Not Me. I Have Been Sad For Years. Don ’ T Tell Me It Gets Better. ', ' I Have A Habit Of Falling Too Hard And Falling Too Fast, And Getting My Hopes Up For Something I Know Won ’ T Last. ', ' Sometimes When I Say ” I Am Okay ” I Want Someone Too Look Me In The Eyes, Hug Me Tight & Say ” I Know You ’ Re Not “. ', ' You Treat Me Like Shit For No Reason, Yet I M Still In Love With You. Stop Breaking My Heart. I Just Want To Love You. ', ' Sometimes I Don ’ T Tell People What ’ S Wrong Because Most Of The Time They ’ Re Just Being Curious. Not Because They Care. ', ' I Am Fighting Alone & Being Depressed Is An Everyday Fight. I Am Tired Of Being Sad Now. Trust …. Nothing Feels Right. ', ' One Get Used To Being Alone, But It ’ S Enough To Break It For A Day & You Have To Get Used To It Again From The Beginning. ', ' You Can ’ T Control Everything That Happens To You, But You Can Control How You React To The Things That Are Out Of Your Control. ', ' The Loneliest Moment In Someone ’ S Life Is When They Are Watching Their Whole World Fall Apart, And All They Do Is Stare Blankly. (Sad Status \ xa0 ', ' Apologizing Doesn ’ T Always Mean You ’ Re Wrong & The Other Person Is Right. It Means You Value Your Relationship More Than You Ego. ', ' The Pain Is Not On The Day Of Missing Our Dear Ones. The Pain Is Really When You Love Without Them & With Their Presence In Your Mind. \ xa0 (\ xa0Sad Quotes ', ' You ’ Re The First Person Who Broke My Heart. For The Rest Of My Life, You Will Always Be The On Who Hurt Me The Most. Don ’ T Forget That. ', ' Have You Ever Noticed That The More Special You Treat Someone, The More That Someone Takes You For Granted? As If You Won ’ T Ever Change. ', ' Expression Of Eyes? Can Be Read? By Everyone … But Depression Of Heart Can Be Read? Only By Best One … Care For Everyone But Don ’ T Lose The Best One. ', ' ' ]",sad
I understand why you left But what i dont why im still for you?,sad
Smile and one no will see how broken you are inside.,sad
The pain is there to remind me that I'm still alive. That feeling never goes away.,sad
"I’m born to express, to not impress.",angry
"People don't cheat by chance, they by cheat choice.",sad
The more I do not talk to you not does make it any better it just makes my heart break even more everyday.,sad
Do Ace miss you? → everyday ←,sad
"Beware, I m in my greatest mood today.",angry
It's sad to be happy alone 💔,sad
"if you are in a relationship, flirtation is wander.",sad
